category,format,cputime_ms
BM_FAST_DESERIALIZE,cista_raw_bench,32.65
BM_FAST_DESERIALIZE_AND_TRAVERSE,capnp_bench,211
BM_FAST_DESERIALIZE_AND_TRAVERSE,cereal_bench,180.7
BM_FAST_DESERIALIZE_AND_TRAVERSE,cista_offset_bench,80.02
BM_FAST_DESERIALIZE_AND_TRAVERSE,cista_offset_slim_bench,80.46
BM_FAST_DESERIALIZE_AND_TRAVERSE,cista_raw_bench,113.3
BM_FAST_DESERIALIZE_AND_TRAVERSE,fbs_bench,90.35
BM_FAST_DESERIALIZE_AND_TRAVERSE,lite3_bench,84.92
BM_FAST_DESERIALIZE_AND_TRAVERSE,lite3_context_api_bench,84.13
BM_FAST_DESERIALIZE_AND_TRAVERSE,zpp_bits_bench,81.21
BM_SAFE_DESERIALIZE,capnp_bench,0
BM_SAFE_DESERIALIZE,cereal_bench,98.76
BM_SAFE_DESERIALIZE,cista_offset_bench,274.1
BM_SAFE_DESERIALIZE,cista_offset_slim_bench,0.17
BM_SAFE_DESERIALIZE,cista_raw_bench,289.2
BM_SAFE_DESERIALIZE,fbs_bench,41.69
BM_SAFE_DESERIALIZE,lite3_bench,4.77
BM_SAFE_DESERIALIZE,lite3_context_api_bench,4.76
BM_SAFE_DESERIALIZE,zpp_bits_bench,1.9
BM_SERIALIZE,capnp_bench,66.55
BM_SERIALIZE,cereal_bench,130.4
BM_SERIALIZE,cista_offset_bench,639.1
BM_SERIALIZE,cista_offset_slim_bench,3.79
BM_SERIALIZE,cista_raw_bench,658.2
BM_SERIALIZE,fbs_bench,1845.8
BM_SERIALIZE,lite3_bench,3.02
BM_SERIALIZE,lite3_context_api_bench,3.04
BM_SERIALIZE,zpp_bits_bench,2.76
BM_TRAVERSE,capnp_bench,210.1
BM_TRAVERSE,cereal_bench,79.17
BM_TRAVERSE,cista_offset_bench,79.59
BM_TRAVERSE,cista_offset_slim_bench,79.99
BM_TRAVERSE,cista_raw_bench,81.53
BM_TRAVERSE,fbs_bench,90.53
BM_TRAVERSE,lite3_bench,79.39
BM_TRAVERSE,lite3_context_api_bench,79.59
BM_TRAVERSE,zpp_bits_bench,78.66
